Reports,Count
ALABAMA,1355
ALASKA,630
ARIZONA,4824
ARKANSAS,1245
CALIFORNIA,15766
COLORADO,3155
CONNECTICUT,1966
DELAWARE,405
DISTRICT OF COLUMBIA,147
FLORIDA,8023
GEORGIA,2648
HAWAII,660
IDAHO,1321
ILLINOIS,4188
INDIANA,2647
IOWA,1192
KANSAS,1153
KENTUCKY,1650
LOUISIANA,1102
MAINE,1159
MARYLAND,1776
MASSACHUSETTS,2615
MICHIGAN,3562
MINNESOTA,2057
MISSISSIPPI,764
MISSOURI,2741
MONTANA,980
NEBRASKA,684
NEVADA,1646
NEW HAMPSHIRE,1164
NEW JERSEY,2811
NEW MEXICO,1623
NEW YORK,5723
NORTH CAROLINA,3564
NORTH DAKOTA,271
OHIO,4345
OKLAHOMA,1441
OREGON,3474
PENNSYLVANIA,4887
RHODE ISLAND,589
SOUTH CAROLINA,2194
SOUTH DAKOTA,381
TENNESSEE,2247
TEXAS,5955
UTAH,1475
VERMONT,597
VIRGINIA,2628
WASHINGTON,7018
WEST VIRGINIA,885
WISCONSIN,2391
WYOMING,403
INTERNATIONAL,11138
ALBERTA,676
BRITISH COLUMBIA,1172
MANITOBA,240
NEW BRUNSWICK,202
NEWFOUNDLAND,46
NEWFOUNDLAND AND LABRADOR,46
NORTHWEST TERRITORY,20
NOVA SCOTIA,218
ONTARIO,2439
PRINCE EDW ISLAND,24
PROV OF QUE,102
SASKATCHEWAN,39
YUKON,8
