Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;God;90.45;-0.28;49.53%;93.74%;15.06%;36.25%;1.88
Ahri;Mage;MID;S;56;-5.32;48.83%;93.93%;5.91%;2.59%;2.5
Akali;Assassin;MID;S;69.03;1.97;48.57%;76.83%;8.91%;14.79%;2.39
Akali;Assassin;TOP;B;43.67;-1.25;46.61%;22.43%;2.69%;14.79%;2
Akshan;Marksman;TOP;B;44.67;0.48;49.68%;28.42%;1.06%;4.84%;1.93
Akshan;Marksman;MID;B;44.02;-5.98;49.17%;62.94%;2.53%;4.84%;2.17
Alistar;Tank;SUPPORT;B;42.55;2.02;48.87%;96.29%;3.07%;0.64%;2.41
Amumu;Tank;SUPPORT;S;62.69;3.85;51.82%;70.79%;6.89%;9.97%;2.11
Amumu;Tank;JUNGLE;A;48.38;-0.42;51.94%;28.21%;2.95%;9.97%;2.65
Anivia;Mage;MID;A;49.43;-1.91;51.47%;79.22%;2.17%;2.17%;2.69
Anivia;Mage;SUPPORT;D;34.15;7.04;49.53%;15.92%;0.39%;2.20%;2.26
Annie;Mage;MID;C;41.03;-2.23;49.35%;73.87%;1.43%;0.50%;2.29
Annie;Mage;SUPPORT;D;14.22;-0.34;40.64%;18.81%;0.35%;0.53%;1.85
Aphelios;Marksman;ADC;C;40.59;5.65;46.18%;97.82%;8.11%;0.85%;2.03
Ashe;Marksman;ADC;A;52.34;-4.5;50.99%;65.26%;7.81%;3.24%;2.45
Ashe;Marksman;SUPPORT;B;43.98;-3.43;48.31%;31.95%;3.78%;3.24%;2.36
Aurelion Sol;Mage;MID;C;40.15;2.18;49.63%;82.66%;0.63%;0.30%;2.52
Azir;Mage;MID;B;42.39;2.99;44.84%;93.16%;4.71%;1.65%;2.04
Bard;Support;SUPPORT;B;43.27;-3.92;48.24%;96.54%;3.05%;0.73%;2.85
Bel'Veth;Fighter;JUNGLE;God;77.36;-0.8;52.07%;95.97%;7.40%;26.95%;2.5
Blitzcrank;Tank;SUPPORT;God;86.78;25.11;54.25%;71.32%;9.84%;22.05%;2.66
Blitzcrank;Tank;JUNGLE;C;40.32;0;46.50%;23.89%;3.60%;22.05%;2.45
Brand;Mage;SUPPORT;B;47.57;1.55;51.88%;72.62%;3.31%;4.06%;1.87
Brand;Mage;MID;C;40.8;5.85;50.73%;17.59%;0.89%;4.91%;2.07
Braum;Support;SUPPORT;C;40.61;1.93;49.17%;97.98%;2.07%;0.28%;2.6
Caitlyn;Marksman;ADC;God;76.36;0.34;50.11%;97.58%;17.36%;15.35%;2.31
Camille;Fighter;TOP;A;52.72;-1.8;49.42%;94.62%;5.21%;2.40%;1.95
Cassiopeia;Mage;TOP;B;45.4;6.01;51.32%;12.41%;0.33%;1.55%;1.8
Cassiopeia;Mage;MID;B;44.92;-6.61;51.13%;75.96%;1.92%;1.56%;2.11
Cho'Gath;Tank;TOP;B;47.48;0.02;50.17%;66.60%;1.64%;0.64%;2.09
Cho'Gath;Tank;MID;C;38.32;-3.4;49.66%;20.77%;0.41%;0.66%;2.29
Corki;Marksman;MID;C;37.81;1.2;48.85%;88.46%;0.96%;0.19%;2.14
Darius;Fighter;TOP;S;66.43;-6.08;49.24%;93.40%;9.50%;25.05%;1.83
Diana;Fighter;JUNGLE;S;61.69;-7.8;51.28%;80.42%;6.48%;6.03%;2.53
Diana;Fighter;MID;B;45.27;-2.75;52.05%;18.06%;1.44%;6.03%;2.12
Dr. Mundo;Marksman;TOP;A;48.31;-3.26;50.01%;83.57%;2.14%;1.20%;2.11
Draven;Fighter;ADC;A;53.12;-2.02;50.57%;95.39%;6.93%;25.99%;2.16
Ekko;Assassin;JUNGLE;God;70.18;15.02;51.96%;64.95%;7.54%;5.70%;2.89
Ekko;Assassin;MID;A;53.14;6.74;51.64%;33.12%;3.56%;5.70%;2.39
Elise;Mage;JUNGLE;B;45.63;3.74;51.19%;93.28%;2.73%;2.52%;2.82
Evelynn;Assassin;JUNGLE;B;46.92;1.5;49.14%;98.16%;3.82%;3.86%;3
Ezreal;Marksman;ADC;S;62.61;-2.91;48.86%;95.09%;14.30%;2.75%;2.49
Fiddlesticks;Mage;JUNGLE;S;55.39;1.74;52.67%;88.13%;3.97%;5.31%;2.87
Fiora;Fighter;TOP;S;61.46;-0.38;49.81%;97.69%;8.11%;16.99%;1.74
Fizz;Assassin;MID;A;52.57;8.69;51.08%;95.94%;3.66%;4.24%;2.44
Galio;Tank;MID;A;48.46;-2.92;50.54%;79.27%;2.39%;0.41%;2.72
Galio;Tank;SUPPORT;D;33.58;7.68;49.02%;17.33%;0.45%;0.41%;2.32
Gangplank;Fighter;TOP;A;49.76;-0.5;47.94%;78.93%;4.86%;5.28%;1.96
Gangplank;Fighter;MID;D;36.11;-3.83;47.01%;21.24%;1.41%;5.35%;2.13
Garen;Fighter;TOP;S;56;-1.17;50.35%;83.79%;5.87%;2.34%;2
Gnar;Fighter;TOP;B;44.96;-1.09;47.15%;97.02%;3.62%;0.73%;1.88
Gragas;Fighter;MID;B;43.66;-1.43;51.67%;15.64%;0.59%;0.51%;2.52
Gragas;Fighter;TOP;B;43.17;-1.19;47.65%;47.72%;1.72%;0.51%;2.1
Gragas;Fighter;JUNGLE;D;32.43;2.07;48.55%;24.26%;0.89%;0.51%;3.01
Gragas;Fighter;SUPPORT;D;30.54;3.01;47.84%;11.70%;0.38%;0.51%;2.23
Graves;Marksman;JUNGLE;God;92.37;9.3;49.57%;91.61%;12.74%;11.39%;2.66
Gwen;Fighter;TOP;C;42;0.18;47.72%;85.25%;2.17%;0.86%;1.68
Hecarim;Fighter;JUNGLE;God;72.17;-19.35;48.93%;98.78%;7.86%;21.19%;2.77
Heimerdinger;Mage;MID;A;48.33;1.37;54.01%;38.74%;1.46%;2.53%;2.04
Heimerdinger;Mage;TOP;B;48.12;4.33;52.37%;22.05%;0.76%;2.53%;1.8
Heimerdinger;Mage;ADC;B;46.97;8.16;57.03%;14.30%;0.42%;2.53%;2.33
Heimerdinger;Mage;SUPPORT;C;39.54;5.28;52.05%;24.46%;0.87%;2.53%;1.98
Illaoi;Fighter;TOP;B;47.43;-2.51;49.90%;92.73%;3.33%;5.59%;1.45
Irelia;Fighter;TOP;A;52.05;-1.1;49.83%;54.11%;4.68%;13.82%;1.65
Irelia;Fighter;MID;A;50.63;-1.62;50.74%;44.42%;3.80%;13.82%;1.83
Ivern;Support;JUNGLE;C;39.84;5.21;50.67%;75.44%;0.96%;0.43%;3.38
Ivern;Support;SUPPORT;D;27.86;5.79;46.41%;12.11%;0.15%;0.43%;2.45
Janna;Support;SUPPORT;S;64.78;-7.26;52.32%;97.54%;6.27%;2.79%;3.24
Jarvan IV;Tank;JUNGLE;A;51.54;2.25;51.17%;90.09%;3.59%;0.33%;3.25
Jax;Fighter;TOP;S;56.09;-0.55;50.87%;84.97%;5.88%;7.47%;1.71
Jax;Fighter;JUNGLE;D;27.48;-3.73;48.36%;13.00%;0.88%;7.10%;2.21
Jayce;Fighter;TOP;C;41.27;-1.94;47.13%;80.46%;2.10%;0.30%;1.77
Jayce;Fighter;MID;C;37.73;-5.96;49.67%;17.62%;0.43%;0.30%;2.16
Jhin;Marksman;ADC;S;64.62;-4.82;50.00%;97.07%;12.62%;2.75%;3.04
Jinx;Marksman;ADC;A;55.21;10.84;51.29%;98.22%;9.30%;0.80%;2.37
Kai'Sa;Marksman;ADC;God;90.19;11.62;50.12%;95.58%;24.83%;5.58%;2.54
Kalista;Marksman;ADC;C;37.38;0.08;47.70%;93.59%;4.44%;3.01%;2.27
Karma;Mage;SUPPORT;A;54.98;-4.12;48.45%;84.13%;6.49%;1.70%;2.7
Karthus;Mage;ADC;C;42.26;0.82;54.37%;17.78%;0.72%;3.22%;2.3
Karthus;Mage;JUNGLE;C;40.64;2.85;50.10%;62.35%;2.40%;3.22%;2.61
Karthus;Mage;MID;C;39.64;-1.37;50.39%;12.02%;0.41%;3.22%;2.28
Kassadin;Assassin;MID;A;50.64;-1.34;49.94%;96.64%;3.43%;7.88%;2.5
Katarina;Assassin;MID;S;63.53;-4.79;49.44%;95.84%;7.42%;10.83%;2.36
Kayle;Fighter;TOP;B;46.5;-3.99;49.49%;79.09%;2.63%;1.04%;1.76
Kayle;Fighter;MID;C;41;-2.02;51.22%;17.23%;0.48%;1.04%;2.23
Kayn;Fighter;JUNGLE;God;72.84;-20.19;50.06%;97.25%;8.77%;14.77%;2.47
Kennen;Mage;MID;B;45.97;3.56;53.39%;16.23%;0.33%;0.51%;2.53
Kennen;Mage;TOP;B;43.49;-3.16;47.91%;80.40%;1.82%;0.57%;2.03
Kha'Zix;Assassin;JUNGLE;A;53.95;-3.28;51.01%;98.34%;4.99%;2.59%;2.62
Kindred;Marksman;JUNGLE;A;52.13;-0.66;50.26%;95.23%;5.14%;6.22%;2.3
Kled;Fighter;TOP;A;50.87;1.7;51.07%;89.18%;1.77%;0.82%;2.38
Kog'Maw;Marksman;ADC;D;35.11;-2.64;49.77%;86.59%;1.86%;0.44%;2.2
LeBlanc;Assassin;MID;A;51.1;-1.15;48.29%;93.14%;4.05%;6.14%;2.82
Lee Sin;Fighter;JUNGLE;God;72.11;-11.9;47.40%;94.10%;10.58%;4.85%;2.78
Leona;Tank;SUPPORT;S;57.18;-0.95;49.60%;98.70%;6.69%;5.03%;2.36
Lillia;Fighter;JUNGLE;B;47.38;-2.17;49.83%;77.78%;3.97%;2.13%;2.74
Lillia;Fighter;TOP;B;46.32;-2.66;50.11%;18.50%;1.01%;2.13%;2.13
Lissandra;Mage;MID;B;46.54;4.74;50.32%;92.77%;2.45%;0.67%;2.38
Lucian;Marksman;ADC;B;44.09;-0.51;48.86%;89.24%;6.40%;1.40%;2.34
Lulu;Support;SUPPORT;God;71.36;-9.72;49.04%;96.99%;9.24%;12.56%;3.02
Lux;Mage;SUPPORT;God;72.92;-3.5;51.18%;67.99%;9.45%;7.32%;2.52
Lux;Mage;MID;A;54.58;-4.11;50.21%;29.26%;3.98%;7.32%;2.8
Malphite;Tank;TOP;A;49.26;-0.3;48.93%;68.24%;2.92%;1.97%;2.35
Malphite;Tank;MID;C;41.78;2.94;50.51%;14.91%;0.69%;1.96%;2.49
Malphite;Tank;SUPPORT;D;23.62;-0.87;44.39%;13.59%;0.66%;1.94%;2.02
