Country,Code,Year,Liver cancer ,Kidney cancer ,Larynx cancer ,Breast cancer ,Thyroid cancer ,Stomach cancer ,Bladder cancer ,Uterine cancer ,Ovarian cancer ,Cervical cancer ,Prostate cancer ,Pancreatic cancer ,Esophageal cancer ,Testicular cancer ,Nasopharynx cancer ,Other pharynx cancer ,Colon and rectum cancer ,Non-melanoma skin cancer ,Lip and oral cavity cancer ,Brain and nervous system cancer ,"Tracheal, bronchus, and lung cancer ",Gallbladder and biliary tract cancer ,Malignant skin melanoma ,Leukemia ,Hodgkin lymphoma ,Multiple myeloma ,Other cancers 
Afghanistan,AFG,1990,243.663716,39.47049458,109.3342068,766.5354311,79.82016722,923.4952081,148.1392035,108.1193634,68.99469661,317.0996434,130.3027559,125.9847602,189.3685712,27.4942333,73.29565574,40.9626162,442.157093,26.44615585,53.59963584,163.8690618,797.2657098,125.9362403,14.29397771,727.7634293,191.3673857,50.71944179,294.839679
Afghanistan,AFG,1991,261.2418244,41.37602368,117.3117195,823.2339323,85.11102043,989.7096485,156.9774122,115.0683828,73.51169809,336.3374923,139.5326216,133.8216392,200.2654263,29.03399824,78.31531427,43.1596488,476.4319689,28.27527107,57.14888952,174.1832192,853.1263621,133.7813772,15.24104825,766.0401811,203.5096219,54.31763958,311.4690654
Afghanistan,AFG,1992,284.4436305,44.10631476,128.0716342,901.0221001,92.24060267,1078.459037,168.9904623,124.5071241,79.58896266,362.1938777,151.581405,144.4897472,215.1851347,31.24132327,85.00778227,46.18635933,521.9227056,30.71815208,61.87610034,188.3822963,927.8128465,144.2876485,16.508833,820.9565469,220.2080327,59.14420031,334.5659641
Afghanistan,AFG,1993,313.136816,47.42485408,141.4296041,996.4327624,101.2067263,1192.064525,184.3477373,136.4029137,86.60244751,394.2766337,167.7904322,157.3958671,234.1602133,33.99368867,92.96377352,49.87100482,577.3299573,33.8354416,67.5048565,205.2504297,1017.9647,157.4710051,18.03850703,891.1341623,240.7188207,64.9385825,362.4867494
Afghanistan,AFG,1994,343.2297147,50.7109514,155.7546064,1097.895223,110.6799225,1316.505674,200.2469485,149.3038647,93.473543,428.1946501,184.7530779,170.3165851,254.3052522,36.9039921,100.9495063,53.62337017,635.4031116,37.10337037,73.17587882,222.383572,1110.997186,171.3112619,19.60663573,965.2860717,262.3240678,70.93035474,390.3346849
Afghanistan,AFG,1995,371.9291025,53.81093164,168.4817602,1186.027823,119.0370777,1425.62722,214.5045961,160.8058422,99.79714158,457.1708503,200.9939787,182.4931533,271.9487018,39.27382045,107.8334098,56.79262785,688.4816943,40.04283814,78.31936245,239.092183,1195.750862,183.7626342,21.04177869,1033.641997,280.9813012,76.48989265,416.2341283
Afghanistan,AFG,1996,390.0974044,55.32640674,176.0872675,1249.44526,124.364191,1498.850283,222.364906,168.5603156,103.638224,475.8069035,211.4672443,189.4042277,282.057694,40.87049879,111.7721081,58.44826025,724.6072911,41.90389311,81.23878738,249.3036214,1244.047108,191.3657791,21.98322973,1073.200587,292.6950535,79.9684818,430.765713
Afghanistan,AFG,1997,404.4757937,56.47960853,181.8412552,1300.926327,128.3541521,1555.803422,228.0554483,175.0295263,106.6134807,490.3442728,219.7398515,194.5890533,289.4003721,42.08546033,114.9648046,59.49787752,753.2079993,43.33137954,83.34520267,258.3420216,1279.062314,197.1397762,22.72729386,1108.360155,302.1717602,82.64409465,443.1106923
Afghanistan,AFG,1998,416.4084335,57.30779242,186.9508447,1349.130892,131.6207861,1605.085697,232.8449817,181.0687554,109.3091093,502.2817352,226.313694,199.1119477,295.5576956,43.0840285,117.3342662,60.32823355,777.4781634,44.52299916,85.00913053,265.5937145,1308.693649,202.1082706,23.37306708,1132.647179,308.7471763,84.93829208,452.1224805
Afghanistan,AFG,1999,428.0799862,58.25550526,193.2235922,1408.273353,133.2714317,1672.571036,238.582395,189.2238509,112.4093285,516.3330206,234.0125324,204.8792146,302.3894581,44.34537401,117.5735747,61.41225602,806.2145598,46.16451783,86.81855157,273.7151996,1344.910881,208.5979452,24.13326,1158.396965,315.9809856,87.61951783,463.2151459
Afghanistan,AFG,2000,443.3164355,59.85916402,201.0988277,1483.007672,136.4147924,1754.016943,246.4765056,199.0104572,116.779983,534.8815281,243.0467323,212.5075111,312.1466919,46.04972753,118.6556959,63.21368002,840.1870355,48.21603482,89.35314649,284.9197522,1392.690544,216.7000333,25.10699259,1195.422497,326.2245599,90.87329069,478.6425608
Afghanistan,AFG,2001,460.9990953,62.063294,210.6311252,1560.954399,140.3444538,1844.759115,255.9176133,209.5125839,121.3551179,554.1636532,253.190666,220.9952479,324.7946694,48.46170265,120.312834,65.38463614,876.8528918,50.55001976,92.31085974,298.5266036,1450.474576,225.3344144,26.18781063,1244.834903,339.3427515,94.35284971,497.2279759
Afghanistan,AFG,2002,481.1475707,64.94232851,219.677004,1628.628192,144.1285027,1920.101597,266.1480723,218.8019647,127.0518037,568.3456877,264.4412914,231.9525223,336.9434842,50.66580357,121.692201,67.64859141,914.2019253,52.88296753,95.95376524,314.7154185,1516.212733,233.9929136,27.36344177,1289.229638,348.0900773,98.42522207,517.4512618
Afghanistan,AFG,2003,505.7294129,71.61839948,229.6713197,1711.374234,148.9022011,2000.268783,277.8458033,228.7978306,134.2696605,585.179456,277.0782132,244.7981334,350.7653068,53.39953281,125.0186306,70.3642255,956.9734707,55.5402334,100.2584224,357.61226,1591.009021,243.5284677,28.78644918,1455.825683,368.9987822,103.190255,569.683533
Afghanistan,AFG,2004,530.4587182,76.81898426,240.056506,1806.80764,153.8257779,2081.879353,290.3554837,239.0880623,142.0085306,603.1106954,289.987279,258.2115206,365.5518484,55.96477728,128.1281237,73.20630193,1001.350564,58.24212066,104.6303188,388.4853898,1667.587796,253.3338287,30.21535601,1559.332746,384.8303941,108.1805509,606.7359746
Afghanistan,AFG,2005,553.8629598,80.47715105,249.4811084,1892.233368,158.0091133,2151.249408,302.1072272,248.0271493,149.3924994,616.6499621,302.5622475,271.7148782,379.0590856,58.0511968,130.3226005,75.75050541,1041.736599,60.70732762,108.7611198,407.9783461,1740.95882,262.4200185,31.50495787,1604.421105,393.1725596,113.0159332,629.6224731
Afghanistan,AFG,2006,575.7298859,83.61601156,257.1229794,1972.438769,161.5071516,2207.877402,312.6139118,255.856775,156.1575567,627.7289281,314.8060524,284.2433484,391.4037687,59.2370422,131.8515691,77.94019852,1077.657353,62.81761298,112.3265095,422.9387756,1804.187599,270.3309971,32.60913311,1632.63032,397.5299431,117.2843116,646.5535534
Afghanistan,AFG,2007,595.7871057,86.65165217,263.1080507,2037.717594,164.1067171,2245.999306,321.8628504,261.9688846,162.4665153,633.7711293,325.6482787,296.3995495,401.5723586,59.90340595,132.876714,79.77587833,1108.615427,64.5641179,115.5955392,436.6609064,1860.317104,276.9837045,33.55902516,1650.002969,398.0849996,121.2505215,661.0374331
Afghanistan,AFG,2008,616.4909269,89.16901078,269.4484273,2108.968948,167.0774206,2287.224762,331.3171935,268.8380314,169.0760323,641.7276625,336.171438,308.9084248,412.7231317,60.48192405,134.120994,81.79024311,1142.097949,66.30958942,119.0486482,446.2466053,1917.473808,284.029933,34.54607475,1652.308387,397.9217391,125.4324386,671.2096217
Afghanistan,AFG,2009,637.6347534,91.88705926,274.8613966,2165.566067,169.5636761,2314.061369,340.4461479,274.3296016,175.7871447,646.4871832,346.9817688,322.1971668,422.5795931,60.68891125,135.4240644,83.6328775,1174.203078,67.9061594,122.6434725,456.2128382,1974.418914,290.4430019,35.53278751,1650.841012,397.0098021,129.7419187,682.0328456
Afghanistan,AFG,2010,660.5709813,91.85958773,281.6662098,2232.94866,172.6518084,2350.600081,351.2242141,281.033373,183.3725082,653.8842418,359.5398247,337.2722818,434.5582199,60.73132161,136.4883346,85.79541525,1212.262105,69.73527862,126.8210863,441.5360705,2041.893868,298.1115136,36.63160216,1552.246178,388.4670195,134.7201412,666.3662399
Afghanistan,AFG,2011,682.1291077,94.06490038,288.172677,2293.010565,175.6440414,2387.336462,361.4092183,286.7266619,190.4307566,661.3337015,371.941303,351.4765535,445.2240688,61.55077569,138.4570825,87.86245572,1249.180049,71.6167975,130.9297957,445.4008475,2115.266401,305.0515932,37.80333993,1531.315293,387.8799823,139.5201911,671.9167532
Afghanistan,AFG,2012,708.4410392,98.52885104,296.2184558,2359.009674,179.6601099,2433.913369,373.4552625,293.7184796,198.6888078,671.5893275,386.0088543,368.0248491,458.0249914,62.923572,141.7805135,90.44947028,1293.904845,73.86440408,135.9204695,465.7948695,2203.152866,313.5200541,39.28857996,1572.42627,393.1626761,145.3151421,696.8398041
Afghanistan,AFG,2013,740.2603375,108.7540083,305.9785869,2440.474523,184.9992027,2495.571981,386.9681941,302.4832153,208.0287982,686.5600049,400.4623344,385.849909,473.0972748,65.25922233,147.5283241,93.60569088,1347.064807,76.53553195,141.6531384,533.0955392,2302.526942,323.2942384,41.10942248,1784.50786,415.476712,151.9403736,773.7656125
Afghanistan,AFG,2014,771.9670143,115.6534717,316.9073966,2525.605501,190.394285,2564.073987,401.7527563,311.7874164,217.1990502,701.829955,416.3606244,404.5325929,489.2807106,67.44209098,152.2756102,96.81928141,1403.906108,79.3606098,147.6647597,569.781379,2409.672155,333.7786653,42.88085726,1881.810147,427.0467891,158.9558689,816.8158926
Afghanistan,AFG,2015,803.595901,121.599743,328.3937018,2616.27106,195.990578,2636.554997,417.09567,321.7312943,226.5314642,717.7633413,432.3912788,423.6005628,505.9230132,69.71825688,156.8383375,100.1222652,1463.463877,82.23335265,153.8235315,598.2888569,2520.284186,344.5486647,44.66616505,1949.461071,436.1787338,166.1167736,851.2926353
Afghanistan,AFG,2016,838.7359933,127.6921519,341.0443133,2709.583283,202.6775288,2723.776141,435.8081245,332.8758333,236.3354253,736.5933695,455.6463894,444.4660638,524.086268,71.94938661,161.5923198,103.7262576,1526.868453,85.67751938,160.5207599,627.2617503,2639.418244,357.1766117,46.61548065,2021.797554,444.7471104,173.4162165,887.4150724
Albania,ALB,1990,228.6904574,30.7969194,62.9963346,103.2915831,12.71730962,306.9020517,15.98423624,23.97004379,28.84301257,44.33564066,148.9229338,85.21793305,43.24446716,9.360657071,13.49955011,20.80419588,135.9592193,26.30371421,40.52185666,131.1279239,566.2820936,26.18144656,18.41389326,124.030012,23.82006858,12.61069625,224.543708
Albania,ALB,1991,236.803972,31.67876495,63.54820548,106.6394552,12.82281693,314.6643292,16.28102838,24.03777703,28.87308452,44.51577846,151.9028333,86.48996779,42.74360514,8.780850439,13.38725351,20.51292124,138.3504306,26.13305963,39.91213053,137.7905596,577.078207,26.37243586,19.16794366,131.9495323,23.94781059,12.74245048,229.2380936
Albania,ALB,1992,242.6698207,31.59762561,63.63224453,109.3601298,12.83066027,319.3613095,16.46201033,24.00343556,28.73440934,44.44662383,153.6646888,86.94632266,42.02448949,8.119905099,13.16874427,20.0191441,139.6979249,25.95765171,39.36423553,138.5093984,579.5758428,26.48114855,19.66716402,131.4665492,23.53209935,12.76994249,225.7851044
Albania,ALB,1993,250.2380557,31.78949019,62.7188788,112.0692618,12.71726476,320.3775109,16.57876956,23.96034382,28.87789298,44.06318565,155.1038613,87.98459781,41.30892551,7.475739902,12.83987426,19.9861607,140.8776194,25.24374848,37.35272381,137.8973735,583.9419429,26.37943293,20.3222456,131.0239272,23.13564693,12.77232204,222.1468302
Albania,ALB,1994,259.5283466,32.53569596,61.37657774,115.7557005,12.87827519,323.3970614,16.75599764,24.31861081,29.03039359,45.12670509,157.395225,88.95963951,40.07893635,7.360247026,12.04282675,19.51792523,139.3691025,24.62561472,35.04263307,139.0591291,593.5769597,25.97340663,20.75748506,130.600706,22.95728104,12.82662123,219.4274382
Albania,ALB,1995,277.1867376,32.58866763,62.03113801,120.9282406,13.29355695,334.9496496,17.09192604,25.49622661,29.19599174,46.33157315,159.908693,91.69435493,38.92890009,7.124508472,11.17391389,18.79627603,137.9111531,24.22545701,32.90554299,142.441508,614.6904638,25.48530714,21.91238146,129.7002726,22.98569672,13.06144933,211.712279
Albania,ALB,1996,289.1061144,32.7052865,62.1147749,125.0410084,13.43030912,345.1430255,17.35583322,26.46917653,29.37530848,47.74358937,163.8973263,94.24478886,38.64532017,6.818197555,10.65331035,18.05335817,137.3072938,23.84657839,31.55816916,146.688766,634.8886488,24.9687698,22.83765926,129.6496058,23.19670289,13.24691656,207.3597218
Albania,ALB,1997,300.8350044,33.44507457,64.19315358,131.0744487,13.89105662,359.9404209,17.84613868,28.12909234,29.91002253,49.45167727,169.0165073,98.15076173,38.39150897,6.671513406,10.43307746,17.56983004,138.9903706,24.40975513,31.09618065,151.7324937,665.9482433,24.81773077,23.81332503,132.7124002,23.57195695,13.61357693,204.8532853
Albania,ALB,1998,313.0916701,35.65265399,66.47166905,138.4744068,14.73728251,377.8234693,18.49897702,29.15812832,30.97491612,50.00194577,177.1237086,104.2510489,38.5597465,6.499385675,10.84481478,18.54271629,143.8118976,24.54638954,31.36469461,157.5313466,699.0893287,24.88716253,24.29511518,137.0484564,24.23494334,14.21768058,206.517444
Albania,ALB,1999,321.9273069,38.56312365,70.70037255,147.3274997,15.14568819,391.8729197,19.20819696,29.95729761,32.84252777,51.70980592,186.7965727,112.2667883,39.98200078,6.832895599,11.16474209,19.19748751,150.2750799,25.13616362,32.66120883,166.2395525,730.4545276,25.18096058,24.07126216,142.0800669,24.33481985,14.74179819,209.1326508
Albania,ALB,2000,325.6396708,42.32526711,74.82735073,154.6339816,15.38680573,404.0119832,20.01388055,30.07116339,35.03997057,52.60044771,195.1635728,121.2290254,42.67070179,6.819737315,11.42503238,19.99646091,158.6964657,27.42207383,33.89003747,174.2578794,765.9452763,25.63562511,23.53925197,143.7224894,24.31133308,15.44790657,216.6263478
Albania,ALB,2001,322.9701106,47.38087026,77.75509194,162.8456021,15.43386912,411.5827417,20.78037057,30.41279917,37.65051431,54.0302842,202.8473465,130.939722,44.72653031,7.346210528,11.72064726,20.81273101,169.613237,29.98579637,36.03440279,183.1018559,783.7249827,26.38045624,22.42240024,144.7539823,23.92719674,16.3047626,227.155738
