Reports,Count
05/2023,138
04/2023,267
03/2023,269
02/2023,390
01/2023,310
12/2022,302
11/2022,371
10/2022,506
09/2022,558
08/2022,532
07/2022,517
06/2022,449
05/2022,455
04/2022,327
03/2022,338
02/2022,326
01/2022,354
12/2021,379
11/2021,297
10/2021,300
09/2021,279
08/2021,280
07/2021,233
06/2021,237
05/2021,496
04/2021,292
03/2021,265
02/2021,263
01/2021,305
12/2020,395
11/2020,464
10/2020,548
09/2020,465
08/2020,738
07/2020,675
06/2020,395
05/2020,582
04/2020,1055
03/2020,839
02/2020,620
01/2020,634
12/2019,767
11/2019,712
10/2019,759
09/2019,678
08/2019,496
07/2019,619
06/2019,496
05/2019,554
04/2019,411
03/2019,335
02/2019,223
01/2019,363
12/2018,251
11/2018,261
10/2018,298
09/2018,322
08/2018,386
07/2018,455
06/2018,253
05/2018,259
04/2018,246
03/2018,243
02/2018,250
01/2018,322
12/2017,517
11/2017,369
10/2017,501
09/2017,462
08/2017,423
07/2017,532
06/2017,435
05/2017,370
04/2017,424
03/2017,353
02/2017,432
01/2017,342
12/2016,364
11/2016,508
10/2016,499
09/2016,604
08/2016,570
07/2016,710
06/2016,447
05/2016,391
04/2016,394
03/2016,419
02/2016,440
01/2016,427
12/2015,445
11/2015,919
10/2015,673
09/2015,751
08/2015,635
07/2015,752
06/2015,507
05/2015,477
04/2015,468
03/2015,486
02/2015,350
01/2015,549
12/2014,533
11/2014,554
10/2014,810
09/2014,852
08/2014,944
07/2014,1129
06/2014,802
05/2014,665
04/2014,675
03/2014,532
02/2014,561
01/2014,722
12/2013,779
11/2013,818
10/2013,806
09/2013,805
08/2013,932
07/2013,996
06/2013,668
05/2013,549
04/2013,432
03/2013,402
02/2013,287
01/2013,402
12/2012,683
11/2012,790
10/2012,688
09/2012,789
08/2012,917
07/2012,965
06/2012,783
05/2012,536
04/2012,513
03/2012,544
02/2012,401
01/2012,592
12/2011,545
11/2011,452
10/2011,652
09/2011,567
08/2011,649
07/2011,788
06/2011,429
05/2011,326
04/2011,319
03/2011,340
02/2011,278
01/2011,333
12/2010,315
11/2010,374
10/2010,482
09/2010,459
08/2010,548
07/2010,863
06/2010,399
05/2010,339
04/2010,298
03/2010,269
02/2010,199
01/2010,296
12/2009,297
11/2009,328
10/2009,330
09/2009,605
08/2009,510
07/2009,622
06/2009,402
05/2009,365
04/2009,322
03/2009,344
02/2009,399
01/2009,502
12/2008,354
11/2008,463
10/2008,540
09/2008,394
08/2008,518
07/2008,585
06/2008,497
05/2008,350
04/2008,446
03/2008,343
02/2008,373
01/2008,480
12/2007,362
11/2007,377
10/2007,451
09/2007,456
08/2007,479
07/2007,474
06/2007,439
05/2007,324
04/2007,326
03/2007,365
02/2007,269
01/2007,443
12/2006,389
11/2006,415
10/2006,405
