Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;God;89.19;-1.82;49.85%;88.43%;10.23%;24.26%;1.87
Ahri;Mage;MID;A;54.88;-7.09;50.61%;90.89%;5.15%;2.63%;2.41
Akali;Assassin;MID;S;65.31;-9.59;48.29%;75.88%;9.71%;16.95%;2.31
Akali;Assassin;TOP;B;42.97;-0.66;46.26%;22.86%;2.93%;16.95%;1.99
Akshan;Marksman;MID;A;50.02;2.72;52.57%;65.92%;2.11%;3.95%;2.2
Akshan;Marksman;TOP;B;42.28;1.17;51.82%;21.05%;0.62%;3.95%;1.96
Akshan;Marksman;ADC;D;23.7;0;48.20%;10.70%;0.33%;3.83%;2.08
Alistar;Tank;SUPPORT;B;42.5;1.56;48.00%;93.62%;2.77%;0.73%;2.32
Amumu;Tank;SUPPORT;A;49.97;0.1;51.50%;61.83%;3.26%;4.04%;2.06
Amumu;Tank;JUNGLE;C;37.29;-12.53;47.12%;36.07%;2.35%;4.04%;2.58
Anivia;Mage;MID;A;50.58;-0.79;51.66%;75.46%;2.04%;1.95%;2.71
Anivia;Mage;SUPPORT;D;34.96;7.37;48.23%;17.26%;0.39%;1.95%;2.27
Annie;Mage;MID;B;42.94;2.43;49.42%;75.87%;1.30%;0.54%;2.25
Annie;Mage;SUPPORT;D;27.58;9.07;45.27%;14.57%;0.24%;0.59%;1.96
Aphelios;Marksman;ADC;D;33.14;0.94;46.84%;97.05%;5.10%;0.92%;1.89
Ashe;Marksman;ADC;A;55.92;4.18;50.95%;65.25%;8.48%;2.95%;2.32
Ashe;Marksman;SUPPORT;A;49.08;2.11;48.90%;31.68%;4.23%;2.95%;2.27
Aurelion Sol;Mage;MID;B;46.66;7.07;51.72%;86.46%;0.80%;0.35%;2.47
Azir;Mage;MID;C;40.39;0.14;46.08%;91.55%;3.10%;0.93%;2
Bard;Support;SUPPORT;B;47.9;2.81;48.63%;95.55%;3.43%;0.60%;2.82
Bel'Veth;Fighter;JUNGLE;S;57.67;-12.44;51.52%;91.48%;4.57%;21.01%;2.45
Blitzcrank;Tank;SUPPORT;S;68.46;-1.06;50.24%;93.80%;7.27%;22.48%;2.37
Brand;Mage;SUPPORT;A;52.53;5.98;51.38%;75.32%;4.23%;5.30%;1.87
Brand;Mage;MID;B;45.4;5.65;52.14%;13.60%;0.82%;5.74%;2.01
Braum;Support;SUPPORT;B;41.13;2.12;48.39%;96.56%;1.92%;0.32%;2.48
Caitlyn;Marksman;ADC;God;92.44;3.83;50.84%;96.96%;18.03%;17.22%;2.2
Camille;Fighter;TOP;S;62.46;1.07;51.63%;82.46%;5.58%;2.88%;2
Camille;Fighter;JUNGLE;D;31.56;0;47.66%;12.55%;0.79%;2.88%;2.49
Cassiopeia;Mage;MID;B;43.85;0.22;49.78%;75.67%;1.78%;1.65%;2.07
Cassiopeia;Mage;TOP;C;36.28;-4.65;50.06%;10.08%;0.23%;1.68%;1.81
Cassiopeia;Mage;ADC;D;34.77;0;52.70%;10.79%;0.25%;1.68%;2.24
Cho'Gath;Tank;TOP;A;49.42;3.46;48.82%;66.98%;3.84%;2.21%;1.96
Cho'Gath;Tank;MID;B;41.22;1.45;49.26%;14.62%;0.73%;2.21%;2.22
